[2023-05-27 05:11:51] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 16.5%, totMEM: 4.4%
[2023-05-27 05:11:54] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 17.4%, totMEM: 4.4%
[2023-05-27 05:11:57] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 16.3%, totMEM: 4.4%
[2023-05-27 05:12:00] ryuCPU: 100.1%, ryuMEM: 161.890625 MB, totCPU: 15.7%, totMEM: 4.4%
[2023-05-27 05:12:03] ryuCPU: 99.4%, ryuMEM: 161.890625 MB, totCPU: 17.9%, totMEM: 4.4%
[2023-05-27 05:12:06] ryuCPU: 100.6%, ryuMEM: 161.890625 MB, totCPU: 16.0%, totMEM: 4.4%
[2023-05-27 05:12:09] ryuCPU: 100.1%, ryuMEM: 161.890625 MB, totCPU: 15.4%, totMEM: 4.4%
[2023-05-27 05:12:12] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 17.2%, totMEM: 4.4%
[2023-05-27 05:12:15] ryuCPU: 99.7%, ryuMEM: 161.890625 MB, totCPU: 17.0%, totMEM: 4.4%
[2023-05-27 05:12:18] ryuCPU: 100.8%, ryuMEM: 161.890625 MB, totCPU: 17.9%, totMEM: 4.4%
[2023-05-27 05:12:21] ryuCPU: 100.4%, ryuMEM: 161.890625 MB, totCPU: 14.1%, totMEM: 4.4%
[2023-05-27 05:12:24] ryuCPU: 101.3%, ryuMEM: 161.890625 MB, totCPU: 13.8%, totMEM: 4.4%
[2023-05-27 05:12:27] ryuCPU: 100.2%, ryuMEM: 161.890625 MB, totCPU: 12.8%, totMEM: 4.4%
[2023-05-27 05:12:30] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 12.7%, totMEM: 4.4%
[2023-05-27 05:12:33] ryuCPU: 101.1%, ryuMEM: 161.890625 MB, totCPU: 13.5%, totMEM: 4.4%
[2023-05-27 05:12:36] ryuCPU: 100.7%, ryuMEM: 161.890625 MB, totCPU: 12.0%, totMEM: 4.4%
[2023-05-27 05:12:39] ryuCPU: 100.4%, ryuMEM: 161.890625 MB, totCPU: 12.9%, totMEM: 4.4%
[2023-05-27 05:12:43] ryuCPU: 101.3%, ryuMEM: 161.890625 MB, totCPU: 13.7%, totMEM: 4.4%
[2023-05-27 05:12:46] ryuCPU: 99.7%, ryuMEM: 161.890625 MB, totCPU: 12.3%, totMEM: 4.4%
[2023-05-27 05:12:49] ryuCPU: 100.4%, ryuMEM: 161.890625 MB, totCPU: 13.3%, totMEM: 4.4%
[2023-05-27 05:12:52] ryuCPU: 98.9%, ryuMEM: 161.890625 MB, totCPU: 17.5%, totMEM: 4.4%
[2023-05-27 05:12:55] ryuCPU: 100.2%, ryuMEM: 161.890625 MB, totCPU: 18.5%, totMEM: 4.4%
[2023-05-27 05:12:58] ryuCPU: 100.3%, ryuMEM: 161.890625 MB, totCPU: 18.3%, totMEM: 4.4%
[2023-05-27 05:13:01] ryuCPU: 100.8%, ryuMEM: 161.890625 MB, totCPU: 13.3%, totMEM: 4.4%
[2023-05-27 05:13:04] ryuCPU: 100.0%, ryuMEM: 161.890625 MB, totCPU: 18.4%, totMEM: 4.4%
[2023-05-27 05:13:07] ryuCPU: 100.4%, ryuMEM: 161.890625 MB, totCPU: 15.0%, totMEM: 4.4%
[2023-05-27 05:13:10] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 50.4%, totMEM: 4.4%
[2023-05-27 05:13:13] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 50.4%, totMEM: 4.4%
[2023-05-27 05:13:16] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 50.9%, totMEM: 4.4%
[2023-05-27 05:13:19] ryuCPU: 98.9%, ryuMEM: 161.890625 MB, totCPU: 44.4%, totMEM: 4.5%
[2023-05-27 05:13:22] ryuCPU: 99.7%, ryuMEM: 161.890625 MB, totCPU: 44.1%, totMEM: 4.4%
[2023-05-27 05:13:25] ryuCPU: 100.8%, ryuMEM: 161.890625 MB, totCPU: 43.2%, totMEM: 4.4%
[2023-05-27 05:13:28] ryuCPU: 100.8%, ryuMEM: 161.890625 MB, totCPU: 44.6%, totMEM: 4.4%
[2023-05-27 05:13:31] ryuCPU: 100.2%, ryuMEM: 161.890625 MB, totCPU: 11.4%, totMEM: 4.4%
[2023-05-27 05:13:34] ryuCPU: 100.8%, ryuMEM: 161.890625 MB, totCPU: 12.1%, totMEM: 4.4%
[2023-05-27 05:13:37] ryuCPU: 101.6%, ryuMEM: 161.890625 MB, totCPU: 10.1%, totMEM: 4.4%
[2023-05-27 05:13:40] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 49.9%, totMEM: 4.4%
[2023-05-27 05:13:43] ryuCPU: 99.0%, ryuMEM: 161.890625 MB, totCPU: 62.1%, totMEM: 4.4%
[2023-05-27 05:13:46] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 64.7%, totMEM: 4.4%
[2023-05-27 05:13:49] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 43.8%, totMEM: 4.4%
[2023-05-27 05:13:52] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 13.5%, totMEM: 4.4%
[2023-05-27 05:13:55] ryuCPU: 99.3%, ryuMEM: 161.890625 MB, totCPU: 19.0%, totMEM: 4.4%
[2023-05-27 05:13:58] ryuCPU: 100.5%, ryuMEM: 161.890625 MB, totCPU: 18.5%, totMEM: 4.4%
[2023-05-27 05:14:01] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 14.3%, totMEM: 4.4%
[2023-05-27 05:14:04] ryuCPU: 100.0%, ryuMEM: 161.890625 MB, totCPU: 16.8%, totMEM: 4.4%
[2023-05-27 05:14:07] ryuCPU: 100.9%, ryuMEM: 161.890625 MB, totCPU: 16.3%, totMEM: 4.4%
[2023-05-27 05:14:10] ryuCPU: 100.0%, ryuMEM: 161.890625 MB, totCPU: 12.8%, totMEM: 4.4%
[2023-05-27 05:14:13] ryuCPU: 98.8%, ryuMEM: 161.890625 MB, totCPU: 37.1%, totMEM: 4.2%
