[2023-05-23 12:23:56] ryuCPU: 95.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:59] ryuCPU: 96.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:24:02] ryuCPU: 95.7%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:24:05] ryuCPU: 95.6%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:24:08] ryuCPU: 96.9%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:24:11] ryuCPU: 96.4%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:24:14] ryuCPU: 96.4%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:24:17] ryuCPU: 94.1%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:24:20] ryuCPU: 95.9%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:24:23] ryuCPU: 96.6%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:24:26] ryuCPU: 97.1%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:24:29] ryuCPU: 96.9%, ryuMEM: 204.92578125 MB, totCPU: 13.9%, totMEM: 7.4%
[2023-05-23 12:24:32] ryuCPU: 41.3%, ryuMEM: 204.92578125 MB, totCPU: 12.3%, totMEM: 7.4%
[2023-05-23 12:24:35] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:39] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:42] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:45] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:48] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:51] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:54] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:24:57] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:00] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:03] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:06] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:09] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:12] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:15] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:18] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:21] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:24] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:27] ryuCPU: 3.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:30] ryuCPU: 2.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:33] ryuCPU: 3.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:36] ryuCPU: 6.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:39] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:42] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:25:45] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:48] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:51] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:25:54] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 36.4%, totMEM: 7.4%
[2023-05-23 12:25:57] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:00] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:03] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:06] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:09] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:12] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:15] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:18] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:21] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:24] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:27] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:30] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:33] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:36] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:39] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:42] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:45] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:48] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:51] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:54] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:26:57] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:00] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:03] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:06] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:09] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:12] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:15] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:18] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:21] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:24] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:27] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:31] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:34] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:37] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:40] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:43] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:46] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:49] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:52] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:55] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:27:58] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:01] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:04] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:07] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:10] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:13] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:16] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:19] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:22] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:25] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:28] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:31] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:34] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:37] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:40] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:43] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:46] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:49] ryuCPU: 1.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:52] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:55] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:28:58] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 61.8%, totMEM: 6.9%
[2023-05-23 12:29:01] ryuCPU: 0.0%, ryuMEM: 204.92578125 MB, totCPU: 2.1%, totMEM: 4.9%
[2023-05-23 12:54:53] ryuCPU: 0.0%, ryuMEM: 204.078125 MB, totCPU: 60.4%, totMEM: 7.1%
[2023-05-23 12:54:56] ryuCPU: 0.0%, ryuMEM: 204.1953125 MB, totCPU: 0.0%, totMEM: 7.0%
[2023-05-23 12:54:59] ryuCPU: 0.0%, ryuMEM: 204.1953125 MB, totCPU: 14.1%, totMEM: 7.0%
[2023-05-23 12:55:02] ryuCPU: 0.0%, ryuMEM: 204.1953125 MB, totCPU: 0.0%, totMEM: 7.0%
[2023-05-23 12:55:05] ryuCPU: 5.9%, ryuMEM: 204.11328125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:55:08] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 100.0%, totMEM: 7.3%
[2023-05-23 12:55:11] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:55:14] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 7.5%, totMEM: 7.0%
[2023-05-23 12:55:17] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 0.0%, totMEM: 7.0%
[2023-05-23 12:55:20] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 0.0%, totMEM: 7.0%
