eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03218579292297363,21,924,1,21,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03225302696228027,21,924,1,21,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03262066841125488,22,966,1,22,0.9933541666666668,0.006645833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.032318115234375,23,1008,1,23,0.9939791666666667,0.006020833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.0411076545715332,23,1008,1,23,0.9939791666666667,0.006020833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03320646286010742,23,1008,1,23,0.9939791666666667,0.006020833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03223061561584473,23,1008,1,23,0.9939791666666667,0.006020833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.032431602478027344,24,1050,1,24,0.9939791666666667,0.006020833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.032584190368652344,25,1092,1,25,0.9960416666666667,0.003958333333333333
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03323173522949219,26,1134,1,26,0.9960416666666667,0.003958333333333333
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.04795432090759277,26,1134,1,26,0.9960416666666667,0.003958333333333333
